roll,pitch,yaw,x,y,z
-1.68713,-0.000477532,-1.4847,0.0678352,-0.0178727,-0.21557
-1.69475,-0.0237686,-1.49729,0.0571814,0.0157204,-0.189513
-1.67011,-0.0028051,-1.48983,0.0654618,-0.00498775,-0.255094
-1.69455,-0.0219953,-1.49115,0.0602103,-0.000438643,-0.198786
-1.69779,-0.0255246,-1.49473,0.0593372,0.0108517,-0.188542
-1.69359,-0.0164948,-1.49275,0.0597486,0.00343659,-0.194235
-1.67949,-0.00870237,-1.4863,0.0644567,-0.016893,-0.238526
-1.68166,-0.00453687,-1.48963,0.0683842,-0.00532225,-0.231547
-1.7129,-0.0177496,-1.48485,0.0591902,-0.0156244,-0.151877
-1.70195,-0.0185085,-1.492,0.0580476,0.00225182,-0.175658
-1.69417,-0.0358812,-1.49186,0.0632188,-0.00141607,-0.200287
-1.70997,-0.0161617,-1.48298,0.0698258,-0.0227353,-0.161277
-1.69639,-0.0261694,-1.48794,0.0569264,-0.00811228,-0.189117
-1.69695,-0.0267057,-1.48445,0.0592962,-0.0155861,-0.19323
-1.69015,-0.0377365,-1.49245,0.06304,-0.000727834,-0.19982
-1.69521,0.00499443,-1.48994,0.0668213,-0.00462576,-0.200434
-1.7008,-0.0268031,-1.49275,0.0543826,0.00609428,-0.178017
-1.68584,-0.0212119,-1.4963,0.0601856,0.0163889,-0.209774
-1.68018,-0.0183119,-1.48097,0.0586337,-0.0288065,-0.233874
-1.66256,-0.00315248,-1.49545,0.0699572,0.0127522,-0.276659
-1.67994,-0.0145643,-1.49307,0.0650353,0.00132123,-0.22568
-1.704,-0.029389,-1.49674,0.0589587,0.0135923,-0.176254
-1.69288,-0.00553163,-1.4842,0.0655652,-0.0221596,-0.204382
-1.69488,-0.0261589,-1.49619,0.0627385,0.00773932,-0.189065
-1.69634,-0.0221858,-1.49243,0.0620552,0.00293285,-0.19299
-1.70671,-0.0190673,-1.4874,0.0662814,-0.00961896,-0.169516
-1.67962,-0.0352065,-1.49436,0.0636405,0.00412779,-0.223431
-1.69647,-0.00636123,-1.48697,0.0665648,-0.0139689,-0.192815
-1.69498,-0.0373403,-1.48583,0.060994,-0.0139512,-0.199542
-1.69257,-0.0371258,-1.48077,0.0586713,-0.0234232,-0.20083
-1.68836,-0.0165068,-1.49407,0.0619816,0.00801998,-0.205845
-1.70195,-0.0260079,-1.50128,0.0578015,0.0238954,-0.175942
-1.69531,-0.0146366,-1.49793,0.0663911,0.0163257,-0.184492
-1.69506,-0.018615,-1.49677,0.063551,0.0189409,-0.19728
-1.69465,-0.0232324,-1.49281,0.0602046,0.00384481,-0.190899
-1.69116,-0.0219761,-1.50237,0.0653504,0.0305232,-0.208298
-1.69726,-0.0234465,-1.50214,0.0649022,0.0315742,-0.190912
-1.69346,-0.0347803,-1.49443,0.0638076,0.00391298,-0.197399
-1.70737,-0.0205691,-1.49044,0.0630978,0.000530234,-0.1669
-1.69177,-0.0131207,-1.4972,0.0649078,0.0187122,-0.19697
-1.69963,-0.0205707,-1.49065,0.0589199,-0.000519213,-0.184977
-1.6786,-0.0189025,-1.49216,0.0652381,0.000354255,-0.24616
-1.68809,-0.0228224,-1.48018,0.0609027,-0.0283007,-0.20987
-1.69061,-0.0195243,-1.48994,0.0594642,0.000581575,-0.210098
-1.70731,-0.00198497,-1.49367,0.0602296,0.00771322,-0.158071
-1.6902,-0.0117097,-1.49754,0.0610822,0.0188333,-0.201136
-1.67619,-0.0055507,-1.49295,0.0659233,-0.00105375,-0.250577
-1.7141,-0.0207266,-1.49219,0.0625774,0.00399547,-0.149543
-1.69106,-0.0235998,-1.47846,0.0605755,-0.034698,-0.207537
-1.69283,-0.0397924,-1.50237,0.0653237,0.0213469,-0.196951
